transaction_id,customer_id,product_id,transaction_date,quantity,total_revenue,total_cost,region,payment_method
TRX000034,CUST0080,PROD0036,2022-11-08,130,122353.4,53770.6,Eastern,Mobile Money
TRX000035,CUST0135,PROD0037,2025-03-23,3,1953.33,960.75,Western,Mobile Money
TRX000036,CUST0115,PROD0004,2025-02-23,2,3403.58,1458.38,Northern,Cash
TRX000037,CUST0157,PROD0030,2025-01-07,5,6145.5,3026.65,Eastern,Cash
TRX000038,CUST0055,PROD0029,2025-02-22,4,510.04,446.16,Upper West,Card
TRX000039,CUST0049,PROD0035,2024-02-21,6,7045.8,4342.86,Ashanti,Bank Transfer
TRX000040,CUST0170,PROD0017,2025-07-21,3,4624.08,2391.99,Ashanti,Mobile Money
TRX000041,CUST0034,PROD0025,2023-08-27,3,2836.47,1255.92,Greater Accra,Mobile Money
TRX000042,CUST0099,PROD0044,2025-06-16,4,337.88,261.24,Eastern,Bank Transfer
TRX000043,CUST0138,PROD0038,2023-08-04,3,5229.66,2071.74,Bono,Cash
TRX000044,CUST0114,PROD0032,2024-01-16,8,1017.92,907.36,Greater Accra,Mobile Money
TRX000045,CUST0039,PROD0039,2022-01-21,3,910.71,365.76,Northern,Mobile Money
TRX000046,CUST0183,PROD0017,2024-08-30,5,7706.8,3986.65,Volta,Cash
TRX000047,CUST0138,PROD0048,2021-12-27,5,6500.85,3589.75,Bono,Mobile Money
TRX000048,CUST0022,PROD0035,2025-07-15,9,10568.7,6514.29,Upper West,Cash
TRX000049,CUST0109,PROD0012,2024-11-21,3,5502.06,2328.24,Northern,Cash
TRX000050,CUST0183,PROD0043,2024-02-16,8,5940.72,4068.4,Volta,Mobile Money
TRX000051,CUST0192,PROD0038,2022-11-25,7,12202.54,4834.06,Upper East,Mobile Money
TRX000052,CUST0044,PROD0035,2025-04-04,2,2348.6,1447.62,Greater Accra,Mobile Money
TRX000053,CUST0142,PROD0041,2025-01-30,2,1901.88,740.02,Ashanti,Bank Transfer
TRX000054,CUST0116,PROD0023,2025-10-07,2,1625.48,992.82,Upper West,Card
TRX000055,CUST0111,PROD0046,2025-04-13,3,713.43,346.11,Volta,Cheque
TRX000056,CUST0051,PROD0003,2024-04-20,2,1476.6,1098.72,Northern,Bank Transfer
TRX000057,CUST0144,PROD0017,2022-03-09,2,3082.72,1594.66,Western,Bank Transfer
TRX000058,CUST0150,PROD0046,2025-06-13,3,713.43,346.11,Bono,Mobile Money
TRX000059,CUST0163,PROD0024,2023-06-27,5,1003.95,476.4,Ashanti,Mobile Money
TRX000060,CUST0083,PROD0043,2024-11-28,1,742.59,508.55,Ashanti,Mobile Money
TRX000061,CUST0048,PROD0005,2025-02-21,5,8317.6,3800.45,Western,Card
TRX000062,CUST0118,PROD0001,2023-11-11,4,4265.6,2240.16,Upper East,Bank Transfer
TRX000063,CUST0103,PROD0018,2024-10-13,5,7757.1,3081.7,Volta,Card
TRX000064,CUST0028,PROD0026,2024-04-19,5,4976.9,2092.65,Greater Accra,Cash
TRX000065,CUST0108,PROD0015,2025-04-19,6,716.52,298.92,Upper East,Bank Transfer
TRX000066,CUST0108,PROD0022,2024-06-15,3,1180.89,560.31,Upper East,Mobile Money
TRX000067,CUST0049,PROD0031,2022-12-18,3,2404.86,1694.22,Ashanti,Cash
TRX000068,CUST0062,PROD0026,2024-05-03,5,4976.9,2092.65,Northern,Mobile Money
TRX000069,CUST0168,PROD0043,2025-01-26,6,4455.54,3051.3,Volta,Cheque
TRX000070,CUST0028,PROD0035,2025-08-26,4,4697.2,2895.24,Greater Accra,Mobile Money
TRX000071,CUST0022,PROD0028,2025-02-24,2,2393.94,1403.88,Upper West,Mobile Money
TRX000072,CUST0059,PROD0013,2024-06-13,6,7264.14,4028.82,Volta,Mobile Money
TRX000073,CUST0150,PROD0046,2025-06-13,3,713.43,346.11,Bono,Mobile Money
TRX000074,CUST0185,PROD0048,2021-07-30,1,1300.17,717.95,Volta,Mobile Money
TRX000075,CUST0180,PROD0012,2025-02-04,3,5502.06,2328.24,Upper East,Bank Transfer
TRX000076,CUST0087,PROD0027,2025-10-01,6,5169.24,2662.62,Central,Mobile Money
TRX000077,CUST0195,PROD0022,2025-08-09,5,1968.15,933.85,Northern,Card
TRX000078,CUST0082,PROD0015,2023-03-21,5,597.1,249.1,Western,Bank Transfer
TRX000079,CUST0151,PROD0045,2025-01-25,4,567.24,427.2,Northern,Cash
TRX000080,CUST0115,PROD0016,2023-10-26,5,8465.0,3256.3,Northern,Mobile Money
TRX000081,CUST0194,PROD0027,2025-03-27,2,1723.08,887.54,Upper East,Bank Transfer
TRX000082,CUST0061,PROD0013,2025-10-10,2,2421.38,1342.94,Upper West,Card
TRX000083,CUST0026,PROD0020,2024-03-28,2,939.72,726.36,Western,Mobile Money
TRX000084,CUST0050,PROD0005,2025-04-16,4,6654.08,3040.36,Volta,Mobile Money
TRX000085,CUST0056,PROD0014,2023-09-08,3,1516.65,1004.34,Ashanti,Cash
TRX000086,CUST0090,PROD0038,2024-03-15,2,3486.44,1381.16,Western,Mobile Money
TRX000087,CUST0054,PROD0008,2023-04-17,3,139.98,122.85,Ashanti,Cash
TRX000088,CUST0164,PROD0023,2025-07-10,4,3250.96,1985.64,Greater Accra,Cash
TRX000089,CUST0040,PROD0006,2024-09-28,2,1702.04,985.34,Upper West,Mobile Money
TRX000090,CUST0109,PROD0001,2025-06-22,5,5332.0,2800.2,Northern,Bank Transfer
TRX000091,CUST0025,PROD0009,2024-10-19,3,2114.04,912.87,Eastern,Cash
TRX000092,CUST0009,PROD0027,2025-03-11,3,2584.62,1331.31,Bono,Card
TRX000093,CUST0118,PROD0013,2025-08-18,8,9685.52,5371.76,Upper East,Mobile Money
TRX000094,CUST0027,PROD0044,2025-06-04,4,337.88,261.24,Upper East,Card
TRX000095,CUST0138,PROD0045,2024-12-25,3,425.43,320.4,Bono,Cash
TRX000096,CUST0044,PROD0028,2024-05-21,3,3590.91,2105.82,Greater Accra,Mobile Money
TRX000097,CUST0006,PROD0049,2025-07-09,3,2183.25,1607.13,Western,Mobile Money
TRX000098,CUST0152,PROD0050,2025-09-10,4,733.32,631.48,Northern,Bank Transfer
TRX000099,CUST0089,PROD0038,2024-08-15,3,5229.66,2071.74,Upper East,Bank Transfer
TRX000100,CUST0173,PROD0034,2025-01-19,5,2782.1,1584.15,Upper West,Cash
TRX000101,CUST0013,PROD0009,2025-10-07,1,704.68,304.29,Upper West,Mobile Money
TRX000102,CUST0186,PROD0009,2024-12-27,3,2114.04,912.87,Eastern,Bank Transfer
TRX000103,CUST0142,PROD0045,2022-11-21,7,992.67,747.6,Ashanti,Bank Transfer
TRX000104,CUST0099,PROD0020,2024-01-28,3,1409.58,1089.54,Eastern,Cash
TRX000105,CUST0062,PROD0017,2024-11-12,7,10789.52,5581.31,Northern,Bank Transfer
TRX000106,CUST0103,PROD0031,2024-08-22,3,2404.86,1694.22,Volta,Card
TRX000107,CUST0076,PROD0028,2025-05-20,4,4787.88,2807.76,Ashanti,Card
TRX000108,CUST0156,PROD0040,2023-08-14,6,3536.04,2377.38,Upper East,Bank Transfer
TRX000109,CUST0105,PROD0021,2024-09-08,4,6136.04,3053.88,Greater Accra,Mobile Money
TRX000110,CUST0090,PROD0036,2024-04-17,3,2823.54,1240.86,Western,Card
TRX000111,CUST0132,PROD0029,2024-06-23,5,637.55,557.7,Greater Accra,Mobile Money
TRX000112,CUST0127,PROD0036,2023-09-10,5,4705.9,2068.1,Central,Bank Transfer
TRX000113,CUST0137,PROD0038,2023-06-13,2,3486.44,1381.16,Upper East,Bank Transfer
TRX000114,CUST0104,PROD0023,2025-02-03,40,32509.6,19856.4,Volta,Mobile Money
TRX000115,CUST0127,PROD0039,2023-04-17,8,2428.56,975.36,Central,Bank Transfer
TRX000116,CUST0070,PROD0016,2025-06-21,3,5079.0,1953.78,Eastern,Mobile Money
TRX000117,CUST0115,PROD0041,2025-10-03,3,2852.82,1110.03,Northern,Mobile Money
TRX000118,CUST0088,PROD0033,2022-01-07,3,1689.45,851.16,Ashanti,Bank Transfer
TRX000119,CUST0037,PROD0043,2025-01-14,3,2227.77,1525.65,Central,Mobile Money
TRX000120,CUST0007,PROD0031,2025-09-25,4,3206.48,2258.96,Ashanti,Mobile Money
TRX000121,CUST0103,PROD0025,2025-01-29,5,4727.45,2093.2,Volta,Cash
TRX000122,CUST0056,PROD0045,2024-02-13,4,567.24,427.2,Ashanti,Bank Transfer
TRX000123,CUST0131,PROD0050,2023-12-28,4,733.32,631.48,Greater Accra,Mobile Money
TRX000124,CUST0130,PROD0022,2024-10-29,4,1574.52,747.08,Western,Cheque
TRX000125,CUST0030,PROD0021,2022-11-13,5,7670.05,3817.35,Upper West,Bank Transfer
TRX000126,CUST0094,PROD0017,2024-09-14,6,9248.16,4783.98,Volta,Mobile Money
TRX000127,CUST0189,PROD0025,2025-04-17,4,3781.96,1674.56,Western,Mobile Money
TRX000128,CUST0144,PROD0041,2023-06-07,4,3803.76,1480.04,Western,Mobile Money
TRX000129,CUST0122,PROD0050,2024-04-22,2,366.66,315.74,Volta,Cash
TRX000130,CUST0089,PROD0032,2025-08-05,6,763.44,680.52,Upper East,Bank Transfer
TRX000131,CUST0131,PROD0005,2024-07-03,2,3327.04,1520.18,Greater Accra,Mobile Money
TRX000132,CUST0031,PROD0008,2025-03-30,3,139.98,122.85,Eastern,Mobile Money
TRX000133,CUST0043,PROD0043,2025-08-24,5,3712.95,2542.75,Western,Bank Transfer
TRX000134,CUST0166,PROD0002,2025-08-08,5,2913.3,1255.35,Upper East,Mobile Money
TRX000135,CUST0099,PROD0017,2025-09-25,2,3082.72,1594.66,Eastern,Bank Transfer
TRX000136,CUST0109,PROD0017,2024-10-23,3,4624.08,2391.99,Northern,Cash
TRX000137,CUST0166,PROD0023,2022-04-18,4,3250.96,1985.64,Upper East,Mobile Money
TRX000138,CUST0148,PROD0004,2025-05-06,1,1701.79,729.19,Central,Bank Transfer
TRX000139,CUST0079,PROD0017,2024-11-26,4,6165.44,3189.32,Western,Bank Transfer
TRX000140,CUST0072,PROD0042,2022-10-27,6,3791.28,2379.78,Bono,Cash
TRX000141,CUST0121,PROD0006,2025-09-27,3,2553.06,1478.01,Upper West,Mobile Money
TRX000142,CUST0039,PROD0029,2023-09-05,5,637.55,557.7,Northern,Mobile Money
TRX000143,CUST0032,PROD0040,2024-09-23,5,2946.7,1981.15,Ashanti,Mobile Money
TRX000144,CUST0186,PROD0015,2023-05-05,5,597.1,249.1,Eastern,Bank Transfer
TRX000145,CUST0030,PROD0012,2025-05-26,5,9170.1,3880.4,Upper West,Mobile Money
TRX000146,CUST0166,PROD0049,2024-06-10,5,3638.75,2678.55,Upper East,Bank Transfer
TRX000147,CUST0079,PROD0023,2024-09-12,3,2438.22,1489.23,Western,Mobile Money
TRX000148,CUST0158,PROD0026,2022-10-17,4,3981.52,1674.12,Bono,Mobile Money
TRX000149,CUST0124,PROD0005,2024-11-13,4,6654.08,3040.36,Volta,Mobile Money
TRX000150,CUST0034,PROD0035,2025-04-01,5,5871.5,3619.05,Greater Accra,Mobile Money
TRX000151,CUST0189,PROD0013,2024-08-20,1,1210.69,671.47,Western,Mobile Money
TRX000152,CUST0105,PROD0034,2024-03-09,4,2225.68,1267.32,Greater Accra,Bank Transfer
TRX000153,CUST0092,PROD0025,2024-08-23,4,3781.96,1674.56,Upper East,Cash
TRX000154,CUST0174,PROD0019,2022-05-29,4,4003.96,2721.88,Central,Mobile Money
TRX000155,CUST0038,PROD0038,2024-09-17,8,13945.76,5524.64,Volta,Mobile Money
TRX000156,CUST0161,PROD0028,2024-01-24,6,7181.82,4211.64,Volta,Cash
TRX000157,CUST0042,PROD0011,2025-01-23,2,1595.56,954.66,Greater Accra,Card
TRX000158,CUST0122,PROD0041,2024-03-17,8,7607.52,2960.08,Volta,Bank Transfer
TRX000159,CUST0104,PROD0002,2024-05-28,6,3495.96,1506.42,Volta,Cash
TRX000160,CUST0050,PROD0004,2024-08-29,3,5105.37,2187.57,Volta,Mobile Money
TRX000161,CUST0101,PROD0010,2024-12-12,6,6282.48,4739.28,Volta,Mobile Money
TRX000162,CUST0170,PROD0021,2025-08-17,5,7670.05,3817.35,Ashanti,Bank Transfer
TRX000163,CUST0060,PROD0039,2025-08-15,3,910.71,365.76,Western,Cash
TRX000164,CUST0182,PROD0006,2024-11-27,4,3404.08,1970.68,Volta,Bank Transfer
TRX000165,CUST0080,PROD0005,2024-12-07,6,9981.12,4560.54,Eastern,Mobile Money
TRX000166,CUST0150,PROD0023,2024-08-31,4,3250.96,1985.64,Bono,Card
TRX000167,CUST0165,PROD0002,2025-06-07,3,1747.98,753.21,Upper West,Cash
TRX000168,CUST0065,PROD0048,2023-08-30,4,5200.68,2871.8,Bono,Cash
TRX000169,CUST0190,PROD0038,2025-07-27,2,3486.44,1381.16,Central,Card
TRX000170,CUST0055,PROD0031,2023-08-01,6,4809.72,3388.44,Upper West,Card
TRX000171,CUST0078,PROD0048,2025-04-17,3,3900.51,2153.85,Eastern,Mobile Money
TRX000172,CUST0026,PROD0047,2024-08-09,2,484.22,299.18,Western,Mobile Money
TRX000173,CUST0130,PROD0011,2021-11-10,3,2393.34,1431.99,Western,Bank Transfer
TRX000174,CUST0200,PROD0023,2023-11-23,6,4876.44,2978.46,Bono,Mobile Money
TRX000175,CUST0185,PROD0017,2025-07-21,4,6165.44,3189.32,Volta,Mobile Money
TRX000176,CUST0039,PROD0045,2022-02-05,3,425.43,320.4,Northern,Mobile Money
TRX000177,CUST0148,PROD0040,2025-07-28,2,1178.68,792.46,Central,Cash
TRX000178,CUST0018,PROD0039,2025-10-05,5,1517.85,609.6,Central,Cheque
TRX000179,CUST0019,PROD0035,2024-10-31,2,2348.6,1447.62,Bono,Bank Transfer
TRX000180,CUST0089,PROD0046,2025-04-13,5,1189.05,576.85,Upper East,Card
TRX000181,CUST0089,PROD0035,2025-05-18,3,3522.9,2171.43,Upper East,Mobile Money
TRX000182,CUST0052,PROD0045,2022-02-18,6,850.86,640.8,Upper East,Card
TRX000183,CUST0032,PROD0031,2022-07-29,4,3206.48,2258.96,Ashanti,Bank Transfer
TRX000184,CUST0015,PROD0024,2022-11-20,4,803.16,381.12,Central,Mobile Money
TRX000185,CUST0186,PROD0041,2023-07-23,3,2852.82,1110.03,Eastern,Card
TRX000186,CUST0161,PROD0047,2024-07-03,2,484.22,299.18,Volta,Mobile Money
TRX000187,CUST0149,PROD0040,2025-09-10,8,4714.72,3169.84,Western,Mobile Money
TRX000188,CUST0043,PROD0004,2025-06-24,3,5105.37,2187.57,Western,Bank Transfer
TRX000189,CUST0061,PROD0023,2024-06-13,3,2438.22,1489.23,Upper West,Bank Transfer
TRX000190,CUST0186,PROD0027,2025-07-20,3,2584.62,1331.31,Eastern,Bank Transfer
TRX000191,CUST0078,PROD0027,2025-10-03,4,3446.16,1775.08,Eastern,Mobile Money
TRX000192,CUST0075,PROD0001,2025-08-08,1,1066.4,560.04,Greater Accra,Card
TRX000193,CUST0010,PROD0023,2023-01-30,3,2438.22,1489.23,Central,Bank Transfer
TRX000194,CUST0173,PROD0021,2025-04-10,4,6136.04,3053.88,Upper West,Mobile Money
TRX000195,CUST0176,PROD0045,2024-07-10,5,709.05,534.0,Northern,Bank Transfer
TRX000196,CUST0043,PROD0016,2025-02-13,5,8465.0,3256.3,Western,Bank Transfer
TRX000197,CUST0052,PROD0047,2025-01-03,9,2178.99,1346.31,Upper East,Bank Transfer
TRX000198,CUST0108,PROD0034,2025-06-26,4,2225.68,1267.32,Upper East,Bank Transfer
TRX000199,CUST0041,PROD0013,2025-04-15,5,6053.45,3357.35,Upper East,Mobile Money
TRX000200,CUST0161,PROD0049,2025-01-24,3,2183.25,1607.13,Volta,Mobile Money
TRX000201,CUST0018,PROD0007,2024-07-21,1,1790.97,746.52,Central,Cash
TRX000202,CUST0157,PROD0037,2025-05-27,4,2604.44,1281.0,Eastern,Mobile Money
TRX000203,CUST0182,PROD0005,2024-06-25,3,4990.56,2280.27,Volta,Mobile Money
TRX000204,CUST0097,PROD0034,2024-05-09,5,2782.1,1584.15,Bono,Mobile Money
TRX000205,CUST0172,PROD0023,2024-03-26,5,4063.7,2482.05,Ashanti,Mobile Money
TRX000206,CUST0135,PROD0016,2025-03-27,5,8465.0,3256.3,Western,Mobile Money
TRX000207,CUST0128,PROD0046,2024-03-01,4,951.24,461.48,Central,Card
TRX000208,CUST0012,PROD0024,2025-10-09,2,401.58,190.56,Northern,Cash
TRX000209,CUST0120,PROD0033,2025-03-31,5,2815.75,1418.6,Northern,Bank Transfer
TRX000210,CUST0109,PROD0028,2025-08-19,1,1196.97,701.94,Northern,Mobile Money
TRX000211,CUST0033,PROD0040,2024-07-01,5,2946.7,1981.15,Bono,Card
TRX000212,CUST0168,PROD0048,2025-01-10,3,3900.51,2153.85,Volta,Mobile Money
TRX000213,CUST0117,PROD0018,2024-05-22,3,4654.26,1849.02,Bono,Card
TRX000214,CUST0164,PROD0031,2025-04-25,3,2404.86,1694.22,Greater Accra,Mobile Money
TRX000215,CUST0028,PROD0028,2024-06-26,7,8378.79,4913.58,Greater Accra,Card
TRX000216,CUST0174,PROD0046,2025-08-03,4,951.24,461.48,Central,Mobile Money
TRX000217,CUST0112,PROD0027,2022-12-12,3,2584.62,1331.31,Ashanti,Bank Transfer
TRX000218,CUST0031,PROD0011,2025-01-15,5,3988.9,2386.65,Eastern,Mobile Money
TRX000219,CUST0033,PROD0013,2024-06-17,3,3632.07,2014.41,Bono,Cash
TRX000220,CUST0065,PROD0001,2023-06-09,7,7464.8,3920.28,Bono,Bank Transfer
TRX000221,CUST0097,PROD0035,2025-05-22,1,1174.3,723.81,Bono,Cheque
TRX000222,CUST0092,PROD0047,2024-10-24,3,726.33,448.77,Upper East,Cheque
TRX000223,CUST0089,PROD0024,2025-05-25,9,1807.11,857.52,Upper East,Cash
TRX000224,CUST0044,PROD0046,2023-09-08,5,1189.05,576.85,Greater Accra,Mobile Money
TRX000225,CUST0154,PROD0026,2023-05-20,6,5972.28,2511.18,Northern,Mobile Money
TRX000226,CUST0100,PROD0022,2023-10-19,5,1968.15,933.85,Volta,Bank Transfer
TRX000227,CUST0151,PROD0023,2023-09-16,5,4063.7,2482.05,Northern,Bank Transfer
TRX000228,CUST0118,PROD0045,2024-07-11,2,283.62,213.6,Upper East,Mobile Money
TRX000229,CUST0017,PROD0028,2024-09-04,2,2393.94,1403.88,Volta,Cash
TRX000230,CUST0166,PROD0025,2023-09-27,4,3781.96,1674.56,Upper East,Bank Transfer
TRX000231,CUST0101,PROD0040,2025-08-05,2,1178.68,792.46,Volta,Cash
TRX000232,CUST0107,PROD0047,2022-10-18,6,1452.66,897.54,Central,Mobile Money
TRX000233,CUST0024,PROD0014,2024-05-03,1,505.55,334.78,Greater Accra,Cheque
TRX000234,CUST0027,PROD0026,2024-11-26,5,4976.9,2092.65,Upper East,Card
TRX000235,CUST0080,PROD0005,2025-09-16,6,9981.12,4560.54,Eastern,Bank Transfer
TRX000236,CUST0059,PROD0034,2025-10-16,1,556.42,316.83,Volta,Mobile Money
TRX000237,CUST0010,PROD0050,2025-04-26,3,549.99,473.61,Central,Bank Transfer
TRX000238,CUST0023,PROD0016,2024-10-12,5,8465.0,3256.3,Northern,Bank Transfer
TRX000239,CUST0088,PROD0028,2021-12-05,7,8378.79,4913.58,Ashanti,Cash
TRX000240,CUST0145,PROD0020,2024-03-01,3,1409.58,1089.54,Upper East,Mobile Money
TRX000241,CUST0094,PROD0001,2022-09-16,4,4265.6,2240.16,Volta,Mobile Money
TRX000242,CUST0085,PROD0029,2025-03-27,3,382.53,334.62,Upper East,Card
TRX000243,CUST0189,PROD0048,2023-01-03,6,7801.02,4307.7,Western,Bank Transfer
TRX000244,CUST0008,PROD0024,2024-09-12,4,803.16,381.12,Upper West,Bank Transfer
TRX000245,CUST0075,PROD0029,2025-06-30,5,637.55,557.7,Greater Accra,Card
TRX000246,CUST0191,PROD0022,2024-12-28,3,1180.89,560.31,Western,Mobile Money
TRX000247,CUST0028,PROD0030,2025-03-05,8,9832.8,4842.64,Greater Accra,Card
TRX000248,CUST0183,PROD0004,2025-08-15,2,3403.58,1458.38,Volta,Bank Transfer
TRX000249,CUST0178,PROD0049,2024-11-12,5,3638.75,2678.55,Western,Card
TRX000250,CUST0044,PROD0011,2023-11-29,6,4786.68,2863.98,Greater Accra,Mobile Money
TRX000251,CUST0079,PROD0042,2025-01-10,4,2527.52,1586.52,Western,Cash
TRX000252,CUST0009,PROD0006,2024-12-18,5,4255.1,2463.35,Bono,Mobile Money
TRX000253,CUST0123,PROD0030,2023-01-21,5,6145.5,3026.65,Upper East,Card
TRX000254,CUST0037,PROD0022,2025-08-04,6,2361.78,1120.62,Central,Mobile Money
TRX000255,CUST0093,PROD0029,2025-04-01,3,382.53,334.62,Northern,Card
TRX000256,CUST0062,PROD0008,2025-03-17,1,46.66,40.95,Northern,Card
TRX000257,CUST0158,PROD0040,2023-03-02,2,1178.68,792.46,Bono,Mobile Money
TRX000258,CUST0139,PROD0039,2022-10-16,4,1214.28,487.68,Ashanti,Mobile Money
TRX000259,CUST0013,PROD0023,2023-10-25,1,812.74,496.41,Upper West,Mobile Money
TRX000260,CUST0196,PROD0007,2024-05-12,7,12536.79,5225.64,Bono,Bank Transfer
TRX000261,CUST0058,PROD0024,2024-02-16,7,1405.53,666.96,Eastern,Cash
TRX000262,CUST0079,PROD0003,2024-11-12,5,3691.5,2746.8,Western,Bank Transfer
TRX000263,CUST0163,PROD0017,2024-10-25,3,4624.08,2391.99,Ashanti,Mobile Money
TRX000264,CUST0112,PROD0038,2023-04-04,1,1743.22,690.58,Ashanti,Cash
TRX000265,CUST0154,PROD0038,2023-07-20,5,8716.1,3452.9,Northern,Mobile Money
TRX000266,CUST0130,PROD0020,2024-03-02,7,3289.02,2542.26,Western,Mobile Money
TRX000267,CUST0107,PROD0015,2024-10-11,2,238.84,99.64,Central,Card
TRX000268,CUST0164,PROD0021,2025-05-09,7,10738.07,5344.29,Greater Accra,Cash
TRX000269,CUST0055,PROD0019,2024-04-23,1,1000.99,680.47,Upper West,Bank Transfer
TRX000270,CUST0168,PROD0002,2024-11-06,5,2913.3,1255.35,Volta,Mobile Money
TRX000271,CUST0119,PROD0022,2023-01-13,5,1968.15,933.85,Upper East,Mobile Money
TRX000272,CUST0054,PROD0021,2025-07-19,2,3068.02,1526.94,Ashanti,Card
TRX000273,CUST0061,PROD0043,2021-11-01,8,5940.72,4068.4,Upper West,Mobile Money
TRX000274,CUST0012,PROD0036,2025-06-15,4,3764.72,1654.48,Northern,Cash
TRX000275,CUST0190,PROD0006,2024-11-02,7,5957.14,3448.69,Central,Mobile Money
TRX000276,CUST0010,PROD0034,2023-03-24,4,2225.68,1267.32,Central,Mobile Money
TRX000277,CUST0010,PROD0026,2025-03-04,2,1990.76,837.06,Central,Bank Transfer
TRX000278,CUST0152,PROD0019,2025-08-01,4,4003.96,2721.88,Northern,Mobile Money
TRX000279,CUST0190,PROD0043,2025-06-10,3,2227.77,1525.65,Central,Mobile Money
TRX000280,CUST0166,PROD0002,2022-09-10,2,1165.32,502.14,Upper East,Cash
TRX000281,CUST0131,PROD0041,2024-01-31,4,3803.76,1480.04,Greater Accra,Mobile Money
TRX000282,CUST0163,PROD0044,2024-04-10,2,168.94,130.62,Ashanti,Bank Transfer
TRX000283,CUST0200,PROD0014,2022-12-14,4,2022.2,1339.12,Bono,Card
TRX000284,CUST0001,PROD0006,2024-07-12,2,1702.04,985.34,Eastern,Bank Transfer
TRX000285,CUST0010,PROD0019,2023-02-10,3,3002.97,2041.41,Central,Mobile Money
TRX000286,CUST0123,PROD0012,2021-11-20,5,9170.1,3880.4,Upper East,Card
TRX000287,CUST0152,PROD0048,2024-11-25,3,3900.51,2153.85,Northern,Mobile Money
TRX000288,CUST0117,PROD0038,2024-04-22,4,6972.88,2762.32,Bono,Mobile Money
TRX000289,CUST0098,PROD0007,2025-05-19,3,5372.91,2239.56,Volta,Mobile Money
TRX000290,CUST0019,PROD0036,2024-01-16,3,2823.54,1240.86,Bono,Mobile Money
TRX000291,CUST0067,PROD0032,2025-02-06,4,508.96,453.68,Eastern,Mobile Money
TRX000292,CUST0065,PROD0007,2025-09-19,6,10745.82,4479.12,Bono,Card
TRX000293,CUST0150,PROD0018,2025-07-20,4,6205.68,2465.36,Bono,Bank Transfer
TRX000294,CUST0032,PROD0048,2023-12-02,1,1300.17,717.95,Ashanti,Mobile Money
